"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"KDDL","KDDL Limited","7(2)","UDS JS FAMILY TRUST","Promoter Group","Equity Shares","Nil","0",,"169800","0","Buy","Equity Shares","169800","1.33","30-Mar-2022","30-Mar-2022","01-Apr-2022","Inter-se-Transfer","-","-","0","0","0","0","NA","-","02-Apr-2022 15:20","https://archives.nseindia.com/corporate/xbrl/IT_1125105_622686_02042022032018_WEB.xml"
"KBCGLOBAL","KBC Global Limited","7(2)","Naresh Jagumal Karda","Director","Equity Shares","167700000","27.27",,"10000000","96847704","Sell","Equity Shares","157700000","25.64","31-Mar-2022","31-Mar-2022","02-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2022 13:22","https://archives.nseindia.com/corporate/xbrl/IT_1125103_622670_02042022012203_WEB.xml"
"SECURCRED","SecUR Credentials Limited","7(2)","Vaishali Vyas","Promoter Group","Equity Shares","226800","4.64",,"226800","25647950","Sell","Equity Shares","Nil","0","31-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","02-Apr-2022 11:27","https://archives.nseindia.com/corporate/xbrl/IT_1125101_622653_02042022112746_WEB.xml"
"JINDALSTEL","Jindal Steel & Power Limited","7(2)","JSP Employee Benefit Trust","Other","Equity Shares","3601748","0.35",,"5750000","3083267875","Buy","Equity Shares","9351748","0.92","31-Mar-2022","31-Mar-2022","01-Apr-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 23:04","https://archives.nseindia.com/corporate/xbrl/IT_1125098_622628_01042022110433_WEB.xml"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","7(2)","Mahindra and Mahindra Financial Services Limited Employees' Stock Option Trust","Other","Equity Shares","2597227","0.21",,"11618","23236","Sell","Equity Shares","2585609","0.21","31-Mar-2022","31-Mar-2022","01-Apr-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 22:58","https://archives.nseindia.com/corporate/xbrl/IT_1125096_622625_01042022105824_WEB.xml"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","7(2)","Kapil Toshniwal","Other","Equity Shares","32513","0",,"2501","5002","Buy","Equity Shares","35014","0","31-Jan-2022","31-Jan-2022","01-Apr-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 22:58","https://archives.nseindia.com/corporate/xbrl/IT_1125096_622625_01042022105824_WEB.xml"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","7(2)","Kapil Toshniwal","Other","Equity Shares","37515","0",,"2501","125050","Buy","Equity Shares","40016","0","31-Mar-2022","31-Mar-2022","01-Apr-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 22:58","https://archives.nseindia.com/corporate/xbrl/IT_1125096_622625_01042022105824_WEB.xml"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","7(2)","Kapil Toshniwal","Other","Equity Shares","35014","0",,"2501","125050","Buy","Equity Shares","37515","0","31-Jan-2022","31-Jan-2022","01-Apr-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 22:58","https://archives.nseindia.com/corporate/xbrl/IT_1125096_622625_01042022105824_WEB.xml"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","7(2)","Mahindra and Mahindra Financial Services Limited Employees' Stock Option Trust","Other","Equity Shares","2585609","0.21",,"11446","572300","Sell","Equity Shares","2574163","0.21","31-Mar-2022","31-Mar-2022","01-Apr-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 22:58","https://archives.nseindia.com/corporate/xbrl/IT_1125096_622625_01042022105824_WEB.xml"
"JINDALSTEL","Jindal Steel & Power Limited","7(2)","SIDDESHWARI TRADEX PRIVATE LIMITED","Promoter Group","Equity Shares","78484924","7.69",,"275000","1109295000","Pledge","Equity Shares","78484924","7.69","29-Mar-2022","29-Mar-2022","31-Mar-2022","Pledge Creation","-","-","0","0","0","0","NA","-","01-Apr-2022 22:54","https://archives.nseindia.com/corporate/xbrl/IT_1125094_622622_01042022105437_WEB.xml"
"INTELLECT","Intellect Design Arena Limited","7(2)","Ravichandran Sankara","-","Equity Shares","5223","0",,"1000","910699","Sell","Equity Shares","4223","0","29-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2022 22:37","https://archives.nseindia.com/corporate/xbrl/IT_1125092_622615_01042022103740_WEB.xml"
"INTELLECT","Intellect Design Arena Limited","7(2)","Punkaj Shankar","-","Equity Shares","5000","0",,"2700","2436642","Sell","Equity Shares","2300","0","29-Mar-2022","29-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2022 22:37","https://archives.nseindia.com/corporate/xbrl/IT_1125092_622615_01042022103740_WEB.xml"
"SINTERCOM","Sintercom India Limited","7(2)","Miba Sinter Holding GmbH & Co KG","Promoters","Convertible Debenture","1975000","30.56",,"987500","0","Sell","Convertible Debenture","987500","30.56","30-Mar-2022","30-Mar-2022","31-Mar-2022","Conversion of security","-","-","0","0","0","0","NA","-","01-Apr-2022 21:14","https://archives.nseindia.com/corporate/xbrl/IT_1125090_622609_01042022091451_WEB.xml"
"SINTERCOM","Sintercom India Limited","7(2)","Miba Sinter Holding GmbH & Co KG","Promoters","Equity Shares","6439085","25.2",,"987500","0","Buy","Equity Shares","7426585","27.98","30-Mar-2022","30-Mar-2022","31-Mar-2022","Conversion of security","-","-","0","0","0","0","NA","-","01-Apr-2022 21:14","https://archives.nseindia.com/corporate/xbrl/IT_1125090_622609_01042022091451_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Route Mobile Employee Welfare Trust","Other","Equity Shares","Nil","0",,"156000","240598800","Pledge","Equity Shares","156000","0.25","31-Mar-2022","31-Mar-2022","01-Apr-2022","Pledge Creation","-","-","0","0","0","0","NA","-","01-Apr-2022 20:47","https://archives.nseindia.com/corporate/xbrl/IT_1125088_622606_01042022084716_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Route Mobile Employee Welfare Trust","Other","Equity Shares","Nil","0",,"170705","55151981","Buy","Equity Shares","170705","0.27","31-Mar-2022","31-Mar-2022","01-Apr-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 20:47","https://archives.nseindia.com/corporate/xbrl/IT_1125088_622606_01042022084716_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Sourabh Ghosh","-","Equity Shares","2008","0",,"550","968781","Sell","Equity Shares","1458","0","16-Mar-2022","16-Mar-2022","31-Mar-2022","Market Sale","-","-","0","0","0","0","BSE","-","01-Apr-2022 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1125086_622603_01042022084334_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","DEEPAK SHARMA","-","Equity Shares","20377","0",,"500","874500","Sell","Equity Shares","19877","0","30-Mar-2022","30-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2022 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1125086_622603_01042022084334_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Tapobrat Chaudhuri","-","Equity Shares","19991","0",,"350","511000","Buy","Equity Shares","20341","0","30-Mar-2022","30-Mar-2022","01-Apr-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1125086_622603_01042022084334_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Paul Parambi","-","Equity Shares","87936","0",,"4599","6714540","Buy","Equity Shares","92535","0","30-Mar-2022","30-Mar-2022","31-Mar-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1125086_622603_01042022084334_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Nipa Ashar","-","Equity Shares","90478","0",,"3696","4697616","Buy","Equity Shares","94174","0","30-Mar-2022","30-Mar-2022","01-Apr-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1125086_622603_01042022084334_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Dipak Gupta","Director","Equity Shares","641986","0.03",,"11000","11100000","Buy","Equity Shares","652986","0.03","30-Mar-2022","30-Mar-2022","31-Mar-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1125086_622603_01042022084334_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","Jaimin Bhatt","Key Managerial Personnel","Equity Shares","1314219","0.06",,"5000","7300000","Buy","Equity Shares","1319219","0.06","30-Mar-2022","30-Mar-2022","31-Mar-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1125086_622603_01042022084334_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(2)","ASHA EUGENE","-","Equity Shares","26710","0",,"687","965598","Buy","Equity Shares","27397","0","30-Mar-2022","30-Mar-2022","31-Mar-2022","ESOP","-","-","0","0","0","0","NA","-","01-Apr-2022 20:43","https://archives.nseindia.com/corporate/xbrl/IT_1125086_622603_01042022084334_WEB.xml"
"CIGNITITEC","Cigniti Technologies Limited","7(2)","Sapna Pennam","Promoter Group","Equity Shares","3478892","12.4",,"80000","34105744","Buy","Equity Shares","3558892","12.69","29-Mar-2022","31-Mar-2022","31-Mar-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 20:35","https://archives.nseindia.com/corporate/xbrl/IT_1125084_622600_01042022083500_WEB.xml"
"DGCONTENT","Digicontent Limited","7(2)","The Hindustan Times Limited","Promoters","Equity Shares","37844521","65.04",,"80000","1240000","Sell","Equity Shares","37764521","64.9","17-Mar-2022","17-Mar-2022","19-Mar-2022","Off Market","-","-","0","0","0","0","NA","-","01-Apr-2022 20:22","https://archives.nseindia.com/corporate/xbrl/IT_1125081_622596_01042022082216_WEB.xml"
"UGARSUGAR","The Ugar Sugar Works Limited","7(2)","TARINI  SANAT SHIRGAOKAR","Promoters","Equity Shares","1094996","0.97",,"9000","81","Sell","Equity Shares","1085996","0.96","28-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","BSE","-","01-Apr-2022 20:07","https://archives.nseindia.com/corporate/xbrl/IT_1125078_622593_01042022080704_WEB.xml"
"UGARSUGAR","The Ugar Sugar Works Limited","7(2)","TARINI  SANAT SHIRGAOKAR","Promoters","Equity Shares","1085996","0.96",,"24000","74","Sell","Equity Shares","1061996","0.94","28-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2022 20:07","https://archives.nseindia.com/corporate/xbrl/IT_1125078_622593_01042022080704_WEB.xml"
"UGARSUGAR","The Ugar Sugar Works Limited","7(2)","PUJA HRISHIKESH PUSALKAR","Promoters","Equity Shares","4100","0.03",,"100","71","Sell","Equity Shares","4000","0","28-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2022 20:07","https://archives.nseindia.com/corporate/xbrl/IT_1125078_622593_01042022080704_WEB.xml"
"UGARSUGAR","The Ugar Sugar Works Limited","7(2)","Shraddha Dinkar Shirgaokar","Promoters","Equity Shares","215394","0.19",,"103500","73","Sell","Equity Shares","111894","0.1","28-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2022 20:07","https://archives.nseindia.com/corporate/xbrl/IT_1125078_622593_01042022080704_WEB.xml"
"ARIHANTSUP","Arihant Superstructures Limited","7(2)","Ashok Chhajer","Promoters","Equity Shares","12362987","30.06",,"25250","3181625","Buy","Equity Shares","12388237","30.09","31-Mar-2022","31-Mar-2022","31-Mar-2022","Market Purchase","-","-","0","0","0","0","BSE","-","01-Apr-2022 20:00","https://archives.nseindia.com/corporate/xbrl/IT_1125076_622590_01042022080059_WEB.xml"
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited","7(2)","Niyati Shah","Immediate relative","Equity Shares","Nil","0",,"300000","0","Buy","Equity Shares","300000","1.84","31-Mar-2022","31-Mar-2022","01-Apr-2022","Gift","-","-","0","0","0","0","NA","-","01-Apr-2022 19:54","https://archives.nseindia.com/corporate/xbrl/IT_1125074_622587_01042022075408_WEB.xml"
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited","7(2)","RAMESH SHAH","Promoters","Equity Shares","793940","4.88",,"300000","0","Sell","Equity Shares","493940","3.04","31-Mar-2022","31-Mar-2022","01-Apr-2022","Gift","-","-","0","0","0","0","NA","-","01-Apr-2022 19:53","https://archives.nseindia.com/corporate/xbrl/IT_1125073_622585_01042022075304_WEB.xml"
"ARIHANTSUP","Arihant Superstructures Limited","7(2)","Ashok Chhajer","Promoters","Equity Shares","12349147","30",,"13840","1729791","Buy","Equity Shares","12362987","30.03","30-Mar-2022","30-Mar-2022","30-Mar-2022","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","01-Apr-2022 19:49","https://archives.nseindia.com/corporate/xbrl/IT_1125071_622582_01042022074951_WEB.xml"
"SWANENERGY","Swan Energy Limited","7(2)","Vakratund Plaza Private Limited","Promoter Group","Equity Shares","Nil","0",,"5308500","859977000","Buy","Equity Shares","5308500","2.01","31-Mar-2022","31-Mar-2022","01-Apr-2022","Preferential Offer","-","-","0","0","0","0","NA","-","01-Apr-2022 19:46","https://archives.nseindia.com/corporate/xbrl/IT_1125069_622578_01042022074620_WEB.xml"
"SWANENERGY","Swan Energy Limited","7(2)","Muse Advertising and Media Private Limited","Promoter Group","Equity Shares","Nil","0",,"5339500","864999000","Buy","Equity Shares","5339500","2.02","31-Mar-2022","31-Mar-2022","01-Apr-2022","Preferential Offer","-","-","0","0","0","0","NA","-","01-Apr-2022 19:46","https://archives.nseindia.com/corporate/xbrl/IT_1125069_622578_01042022074620_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Renil Rajendra Gogri","Director","Equity Shares","1970590","2.13",,"180615","79340927","Sell","Equity Shares","1789975","1.93","28-Mar-2022","28-Mar-2022","30-Mar-2022","Market Sale","-","-","0","0","0","0","BSE","-","01-Apr-2022 19:46","https://archives.nseindia.com/corporate/xbrl/IT_1125068_622576_01042022074609_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Alchemie Finserv Pvt. Ltd.","Promoter Group","Equity Shares","1851327","2",,"70000","30726201","Buy","Equity Shares","1921327","2.07","28-Mar-2022","28-Mar-2022","30-Mar-2022","Market Purchase","-","-","0","0","0","0","BSE","-","01-Apr-2022 19:46","https://archives.nseindia.com/corporate/xbrl/IT_1125068_622576_01042022074609_WEB.xml"
"AARTIDRUGS","Aarti Drugs Limited","7(2)","Rashesh Chandrakant Gogri","Director","Equity Shares","4185016","4.52",,"120000","52864339","Buy","Equity Shares","4305016","4.65","28-Mar-2022","28-Mar-2022","30-Mar-2022","Market Purchase","-","-","0","0","0","0","BSE","-","01-Apr-2022 19:46","https://archives.nseindia.com/corporate/xbrl/IT_1125068_622576_01042022074609_WEB.xml"
"ASTEC","Astec LifeSciences Limited","7(2)","Ashok Vishwanath Hiremath","Promoters","Equity Shares","389075","1.99",,"1727","2903968","Buy","Equity Shares","390802","1.99","28-Mar-2022","28-Mar-2022","30-Mar-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 19:37","https://archives.nseindia.com/corporate/xbrl/IT_1125065_622570_01042022073708_WEB.xml"
"MANGLMCEM","Mangalam Cement Limited","7(2)","Manoj Kumar","Key Managerial Personnel","Equity Shares","8813","0.03",,"8813","3381500","Sell","Equity Shares","Nil","0","31-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","BSE","-","01-Apr-2022 19:31","https://archives.nseindia.com/corporate/xbrl/IT_1125062_622567_01042022073126_WEB.xml"
"ROHLTD","Royal Orchid Hotels Limited","7(2)","Chander K. Baljee","Key Managerial Personnel","Equity Shares","11845834","43.19",,"2803","341984","Sell","Equity Shares","11843031","43.18","31-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","-","-","01-Apr-2022 19:26","https://archives.nseindia.com/corporate/xbrl/IT_1125060_622565_01042022072650_WEB.xml"
"SADBHAV","Sadbhav Engineering Limited","7(2)","PATEL SHANTABEN VISHNUBHAI","Promoters","Equity Shares","48507985","28.27",,"553214","14724931","Buy","Equity Shares","49061199","28.6","31-Mar-2022","31-Mar-2022","01-Apr-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 19:25","https://archives.nseindia.com/corporate/xbrl/IT_1125059_622562_01042022072524_WEB.xml"
"SADBHAV","Sadbhav Engineering Limited","7(2)","VASISTHA C. PATEL","Promoter Group","Equity Shares","3426535","2",,"201000","5326500","Pledge Invoke","Equity Shares","3225535","1.88","28-Mar-2022","28-Mar-2022","30-Mar-2022","Invocation of pledge","-","-","0","0","0","0","NA","-","01-Apr-2022 19:21","https://archives.nseindia.com/corporate/xbrl/IT_1125056_622559_01042022072113_WEB.xml"
"SADBHAV","Sadbhav Engineering Limited","7(2)","VIKRAM R. PATEL","Promoter Group","Equity Shares","4638750","2.7",,"170000","4505000","Pledge Invoke","Equity Shares","4468750","2.6","28-Mar-2022","28-Mar-2022","30-Mar-2022","Invocation of pledge","-","-","0","0","0","0","NA","-","01-Apr-2022 19:21","https://archives.nseindia.com/corporate/xbrl/IT_1125056_622559_01042022072113_WEB.xml"
"SADBHAV","Sadbhav Engineering Limited","7(2)","PATEL SHANTABEN VISHNUBHAI","Promoters","Equity Shares","49086135","28.61",,"578150","15320975","Pledge Invoke","Equity Shares","48507985","28.27","28-Mar-2022","28-Mar-2022","30-Mar-2022","Invocation of pledge","-","-","0","0","0","0","NA","-","01-Apr-2022 19:21","https://archives.nseindia.com/corporate/xbrl/IT_1125056_622559_01042022072113_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","SNEHA ENCLAVE PRIVATE LIMITED","Promoter Group","Equity Shares","98667956","22.37",,"200000","89430000","Pledge","Equity Shares","98667956","22.37","31-Mar-2022","31-Mar-2022","01-Apr-2022","Pledge Creation","-","-","0","0","0","0","NA","-","01-Apr-2022 19:19","https://archives.nseindia.com/corporate/xbrl/IT_1125054_622556_01042022071950_WEB.xml"
"EMAMILTD","Emami Limited","7(2)","SURAJ FINVEST PRIVAE LIMITED","Promoter Group","Equity Shares","105720226","23.96",,"150000","67072500","Pledge Revoke","Equity Shares","105720226","23.96","31-Mar-2022","31-Mar-2022","01-Apr-2022","Revokation of Pledge","-","-","0","0","0","0","NA","-","01-Apr-2022 19:19","https://archives.nseindia.com/corporate/xbrl/IT_1125054_622556_01042022071950_WEB.xml"
"SECURCRED","SecUR Credentials Limited","7(2)","Urvesh Vyas","Promoter Group","Equity Shares","237329","4.86",,"10529","1196094","Sell","Equity Shares","226800","4.64","30-Mar-2022","30-Mar-2022","01-Apr-2022","Off Market","-","-","0","0","0","0","NA","-","01-Apr-2022 19:01","https://archives.nseindia.com/corporate/xbrl/IT_1125046_622546_01042022070107_WEB.xml"
"SECURCRED","SecUR Credentials Limited","7(2)","Pankaj Vyas","Promoters","Equity Shares","249051","5.1",,"380","43168","Sell","Equity Shares","248671","5.09","30-Mar-2022","30-Mar-2022","01-Apr-2022","Off Market","-","-","0","0","0","0","NA","-","01-Apr-2022 19:01","https://archives.nseindia.com/corporate/xbrl/IT_1125046_622546_01042022070107_WEB.xml"
"SECURCRED","SecUR Credentials Limited","7(2)","Vijayaben Vyas","Promoter Group","Equity Shares","248187","5.08",,"10529","1196094","Sell","Equity Shares","237658","4.86","30-Mar-2022","30-Mar-2022","01-Apr-2022","Off Market","-","-","0","0","0","0","NA","-","01-Apr-2022 19:01","https://archives.nseindia.com/corporate/xbrl/IT_1125046_622546_01042022070107_WEB.xml"
"SECURCRED","SecUR Credentials Limited","7(2)","Chintan Siddhpura","-","Equity Shares","7800","0.16",,"22251","2527714","Buy","Equity Shares","30051","0.62","30-Mar-2022","30-Mar-2022","01-Apr-2022","Off Market","-","-","0","0","0","0","NA","-","01-Apr-2022 19:01","https://archives.nseindia.com/corporate/xbrl/IT_1125046_622546_01042022070107_WEB.xml"
"SECURCRED","SecUR Credentials Limited","7(2)","Kalpesh Vyas","Promoter Group","Equity Shares","237658","4.86",,"329","37374","Sell","Equity Shares","237329","4.86","30-Mar-2022","30-Mar-2022","01-Apr-2022","Off Market","-","-","0","0","0","0","NA","-","01-Apr-2022 19:01","https://archives.nseindia.com/corporate/xbrl/IT_1125046_622546_01042022070107_WEB.xml"
"SECURCRED","SecUR Credentials Limited","7(2)","Vaishali Vyas","Promoter Group","Equity Shares","248671","5.09",,"484","54982","Sell","Equity Shares","248187","5.08","30-Mar-2022","30-Mar-2022","01-Apr-2022","Off Market","-","-","0","0","0","0","NA","-","01-Apr-2022 19:01","https://archives.nseindia.com/corporate/xbrl/IT_1125046_622546_01042022070107_WEB.xml"
"MANGLMCEM","Mangalam Cement Limited","7(2)","VIDULA CONSULTANCY SERVICES LIMITED","Promoters","Equity Shares","2727720","9.92",,"100000","39330032","Buy","Equity Shares","2827720","10.28","31-Mar-2022","31-Mar-2022","01-Apr-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:59","https://archives.nseindia.com/corporate/xbrl/IT_1125044_622542_01042022065947_WEB.xml"
"SRPL","Shree Ram Proteins Limited","7(2)","LALITKUMAR CHANDULAL VASOYA","Promoters","Equity Shares","7432300","34.7",,"28526","3742669","Sell","Equity Shares","7403774","34.57","30-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:59","https://archives.nseindia.com/corporate/xbrl/IT_1125043_622540_01042022065918_WEB.xml"
"POLYMED","Poly Medicure Limited","7(2)","RISHI BAID","Director","Equity Shares","9923048","10.35",,"30000","28308980","Sell","Equity Shares","9893048","10.32","31-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","BSE,NSE","-","01-Apr-2022 18:58","https://archives.nseindia.com/corporate/xbrl/IT_1125042_622538_01042022065837_WEB.xml"
"HDFCAMC","HDFC Asset Management Company Limited","7(2)","ANIL BAMBOLI","Employees/Designated Employees","Equity Shares","190824","0.09",,"8500","18297015","Sell","Equity Shares","182324","0.09","30-Mar-2022","30-Mar-2022","31-Mar-2022","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:55","https://archives.nseindia.com/corporate/xbrl/IT_1125041_622534_01042022065514_WEB.xml"
"HDFCAMC","HDFC Asset Management Company Limited","7(2)","ANIL BAMBOLI","Employees/Designated Employees","Equity Shares","182324","0.09",,"5000","10874700","Sell","Equity Shares","177324","0.08","31-Mar-2022","31-Mar-2022","31-Mar-2022","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:55","https://archives.nseindia.com/corporate/xbrl/IT_1125041_622534_01042022065514_WEB.xml"
"ALKYLAMINE","Alkyl Amines Chemicals Limited","7(2)","Vinay Desai","Employees/Designated Employees","Equity Shares","1000","0",,"500","1438300","Sell","Equity Shares","500","0","31-Mar-2022","31-Mar-2022","01-Apr-2022","Market Sale","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:46","https://archives.nseindia.com/corporate/xbrl/IT_1125037_622529_01042022064606_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Brett Enterprises Private Limited (formerly Brett Plastics Pvt. Ltd.)","Promoter Group","Equity Shares","91607491","55.86",,"2500","957093","Buy","Equity Shares","91609991","55.86","31-Mar-2022","31-Mar-2022","01-Apr-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:37","https://archives.nseindia.com/corporate/xbrl/IT_1125034_622525_01042022063749_WEB.xml"
"CCL","CCL Products (India) Limited","7(2)","Vaishak Bollineni","Employees/Designated Employees","Equity Shares","792","0",,"2725","1102538","Buy","Equity Shares","3517","0","28-Mar-2022","29-Mar-2022","30-Mar-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1125032_622522_01042022063327_WEB.xml"
"REFEX","Refex Industries Limited","7(2)","Anil Jain","Promoters","Equity Shares","4927878","23.46",,"4777878","645013530","Sell","Equity Shares","150000","0.71","30-Mar-2022","30-Mar-2022","31-Mar-2022","Off Market","-","-","0","0","0","0","NA","-","01-Apr-2022 18:32","https://archives.nseindia.com/corporate/xbrl/IT_1125031_622519_01042022063243_WEB.xml"
"REFEX","Refex Industries Limited","7(2)","Sherisha Technologies Private Limited","Promoters","Equity Shares","4609003","21.95",,"4777878","645013530","Buy","Equity Shares","9386881","44.7","30-Mar-2022","30-Mar-2022","31-Mar-2022","Off Market","-","-","0","0","0","0","NA","-","01-Apr-2022 18:32","https://archives.nseindia.com/corporate/xbrl/IT_1125031_622519_01042022063243_WEB.xml"
"HEROMOTOCO","Hero MotoCorp Limited","7(2)","Vidur Munjal","Promoter Group","Equity Shares","Nil","0",,"1000","2296590","Buy","Equity Shares","1000","0","31-Mar-2022","31-Mar-2022","31-Mar-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:30","https://archives.nseindia.com/corporate/xbrl/IT_1125030_622514_01042022063014_WEB.xml"
"HEROMOTOCO","Hero MotoCorp Limited","7(2)","Ujjwal Munjal","Promoter Group","Equity Shares","Nil","0",,"1000","2292720","Buy","Equity Shares","1000","0","31-Mar-2022","31-Mar-2022","31-Mar-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:30","https://archives.nseindia.com/corporate/xbrl/IT_1125030_622514_01042022063014_WEB.xml"
"HEROMOTOCO","Hero MotoCorp Limited","7(2)","Akshay Munjal","Promoter Group","Equity Shares","Nil","0",,"1000","2303974","Buy","Equity Shares","1000","0","31-Mar-2022","31-Mar-2022","31-Mar-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:30","https://archives.nseindia.com/corporate/xbrl/IT_1125030_622514_01042022063014_WEB.xml"
"HEROMOTOCO","Hero MotoCorp Limited","7(2)","Pawan Munjal Family Trust","Promoters","Equity Shares","158000","0.08",,"43100","99526627","Buy","Equity Shares","201100","0.1","31-Mar-2022","31-Mar-2022","31-Mar-2022","Market Purchase","-","-","0","0","0","0","NSE","-","01-Apr-2022 18:30","https://archives.nseindia.com/corporate/xbrl/IT_1125030_622514_01042022063014_WEB.xml"
